Категория;Название;Цена;Артикул
Сеты по подписке **;сет Брюс Ли **;0;1168
Сеты по подписке **;сет Дамский угодник **;0;1169
Сеты по подписке **;сет Домино **;0;1170
Сеты по подписке **;сет Жаркая осень **;0;1171
Сеты по подписке **;сет Игра престолов **;0;1172
Сеты по подписке **;сет Сливочный **;0;1173
Сеты по подписке **;сет Эклипс **;0;1174
Сеты по подписке **;Тёплый лосось микс **;0;1175
Сеты по подписке **;Трипл сет **;0;1176
Роллы по подписке **;Авокадо маки **;0;1000
Роллы по подписке **;Аге гурме **;0;1001
Роллы по подписке **;Аляска кунсей **;0;1003
Роллы по подписке **;Благородный сёгун **;0;1004
Роллы по подписке **;Бонито мидии **;0;1056
Роллы по подписке **;Бонито тунец **;0;1057
Роллы по подписке **;Боул с креветками **;0;1051
Роллы по подписке **;Боул с лососем **;0;1033
Роллы по подписке **;Боул с тунцом **;0;1047
Роллы по подписке **;Бруклин **;0;1006
Роллы по подписке **;Гламур **;0;1007
Роллы по подписке **;Горячий дон жуан **;0;1008
Роллы по подписке **;Гуччи **;0;1009
Роллы по подписке **;Детройт **;0;1010
Роллы по подписке **;Запеченный лайт **;0;1058
Роллы по подписке **;Запеченный лосось файр **;0;1005
Роллы по подписке **;Запеченный мидуэй **;0;1012
Роллы по подписке **;Запеченный ролл с беконом **;0;1014
Роллы по подписке **;Запеченный тори ролл **;0;1059
Роллы по подписке **;Калифорния **;0;1015
Роллы по подписке **;Кани гриль **;0;1016
Роллы по подписке **;Каппа маки **;0;1017
Роллы по подписке **;Киото чикен **;0;1061
Роллы по подписке **;Краб дуэт гриль **;0;1018
Роллы по подписке **;Манхеттен **;0;1021
Роллы по подписке **;Мидии маки гриль **;0;1019
Роллы по подписке **;Мидии терияки **;0;1062
Роллы по подписке **;Нежный поцелуй **;0;1022
Роллы по подписке **;Ниагара **;0;1023
Роллы по подписке **;Поке с жареным лососем **;0;1029
Роллы по подписке **;Поке с креветками **;0;1031
Роллы по подписке **;Поке с курицей **;0;1052
Роллы по подписке **;Розовый **;0;1025
Роллы по подписке **;Сказочный тунец **;0;1063
Роллы по подписке **;Спайси эби маки **;0;1027
Роллы по подписке **;Суп Мисо гурме **;0;1028
Роллы по подписке **;Суп Суимоно **;0;1054
Роллы по подписке **;Суп Том ям **;0;1011
Роллы по подписке **;Суши пицца №3 (курица) **;0;1030
Роллы по подписке **;Суши-сендвич с лососем **;0;1032
Роллы по подписке **;Сяке кунсей маки **;0;1034
Роллы по подписке **;Сяке маки **;0;1035
Роллы по подписке **;Сяке хот **;0;1064
Роллы по подписке **;Туна маки **;0;1037
Роллы по подписке **;Туна фреш **;0;1065
Роллы по подписке **;Унаги маки **;0;1038
Роллы по подписке **;Филадельфия лайт с огурцом **;0;1040
Роллы по подписке **;Фреш ролл **;0;1042
Роллы по подписке **;Чеддер скин ролл **;0;1066
Роллы по подписке **;Чизи эби **;0;1067
Роллы по подписке **;Чикен гриль **;0;1044
Роллы по подписке **;Чикен лав **;0;1045
Роллы по подписке **;Чикен фиера **;0;1068
Роллы по подписке **;Чука маки **;0;1046
Роллы по подписке **;Шёлковый путь **;0;1048
Роллы (подписка);Авокадо маки *;325;1105
Роллы (подписка);Аге гурме *;595;1106
Роллы (подписка);Аляска кунсей *;545;1107
Роллы (подписка);Бонито мидии *;525;1145
Роллы (подписка);Бонито тунец *;545;1146
Роллы (подписка);Бруклин *;545;1109
Роллы (подписка);Гранд лосось *;725;1193
Роллы (подписка);Гуччи *;595;1110
Роллы (подписка);Детройт *;525;1111
Роллы (подписка);Дракон лайт *;775;1112
Роллы (подписка);Запеченный лайт *;595;1147
Роллы (подписка);Калифорния *;595;1114
Роллы (подписка);Калифорния с лососем *;635;1150
